""
"Test Method","SMA-CFTC.msm"
"Sample I. D.","Sample89.mss"
"Specimen Number","1"

"Time (h)","Load (N)","Crosshead (in)","Temperature Chamber (C)","Extension (mm)","Stress (MPa)"
2.968,45.434,0.26563,-44.10,6.484,99.628
2.968,45.513,0.26570,-44.10,6.486,99.802
2.968,45.555,0.26574,-44.20,6.487,99.894
2.969,45.546,0.26579,-44.30,6.488,99.874
2.969,45.591,0.26581,-44.30,6.489,99.973
2.969,45.529,0.26584,-44.40,6.490,99.837
2.969,45.583,0.26587,-44.50,6.490,99.954
2.970,45.565,0.26589,-44.50,6.491,99.915
2.970,45.616,0.26591,-44.50,6.491,100.026
2.970,45.512,0.26593,-44.50,6.492,99.799
2.971,45.511,0.26599,-44.50,6.494,99.797
2.971,45.580,0.26602,-44.60,6.494,99.948
2.971,45.507,0.26606,-44.70,6.495,99.788
2.971,45.532,0.26609,-44.70,6.496,99.842
2.972,45.622,0.26611,-44.70,6.497,100.041
2.972,45.624,0.26611,-44.70,6.497,100.044
2.972,45.626,0.26610,-44.70,6.496,100.049
2.973,45.516,0.26610,-44.60,6.496,99.807
2.973,45.593,0.26611,-44.60,6.497,99.976
2.973,45.510,0.26614,-44.60,6.497,99.794
2.973,45.602,0.26618,-44.70,6.498,99.996
2.974,45.515,0.26619,-44.70,6.499,99.806
2.974,45.557,0.26623,-44.70,6.500,99.897
2.974,45.574,0.26625,-44.80,6.500,99.935
2.974,45.512,0.26629,-44.80,6.501,99.799
2.975,45.515,0.26635,-44.80,6.503,99.805
2.975,45.636,0.26636,-44.80,6.503,100.070
2.975,45.579,0.26636,-44.90,6.503,99.946
2.976,45.591,0.26636,-44.90,6.503,99.972
2.976,45.562,0.26636,-44.90,6.503,99.909
2.976,45.583,0.26638,-44.90,6.503,99.955
2.976,45.587,0.26639,-44.90,6.504,99.963
2.977,45.531,0.26640,-44.90,6.504,99.841
2.977,45.556,0.26644,-44.90,6.505,99.896
2.977,45.532,0.26649,-44.90,6.506,99.844
2.978,45.472,0.26654,-45.00,6.507,99.712
2.978,45.623,0.26661,-45.00,6.509,100.041
2.978,46.007,0.26654,-45.10,6.508,100.884
2.978,46.072,0.26630,-45.00,6.501,101.027
2.979,45.901,0.26605,-45.00,6.495,100.653
2.979,45.568,0.26594,-44.60,6.492,99.923
2.979,45.263,0.26600,-44.30,6.494,99.252
2.979,45.388,0.26617,-44.30,6.498,99.528
2.980,45.489,0.26626,-44.40,6.500,99.748
2.980,45.567,0.26630,-44.50,6.502,99.919
2.980,45.544,0.26633,-44.50,6.502,99.869
2.981,45.520,0.26637,-44.50,6.503,99.817
2.981,45.566,0.26641,-44.60,6.504,99.916
2.981,45.638,0.26642,-44.60,6.504,100.076
2.981,45.663,0.26641,-44.70,6.504,100.130
2.982,45.640,0.26639,-44.70,6.504,100.080
2.982,45.629,0.26637,-44.70,6.503,100.055
2.982,45.610,0.26636,-44.60,6.503,100.015
2.983,45.472,0.26636,-44.60,6.503,99.710
2.983,45.549,0.26641,-44.60,6.504,99.879
2.983,45.499,0.26644,-44.60,6.505,99.770
2.983,45.524,0.26648,-44.60,6.506,99.826
2.984,45.520,0.26653,-44.60,6.507,99.817
2.984,45.526,0.26657,-44.70,6.508,99.829
2.984,45.528,0.26661,-44.80,6.509,99.834
2.984,45.544,0.26666,-44.80,6.511,99.869
2.985,45.531,0.26670,-44.90,6.512,99.841
2.985,45.620,0.26674,-45.10,6.513,100.036
2.985,45.956,0.26668,-45.10,6.511,100.773
2.986,46.008,0.26646,-45.00,6.506,100.887
2.986,45.774,0.26628,-44.70,6.501,100.373
2.986,45.359,0.26625,-44.70,6.500,99.463
2.986,45.324,0.26639,-44.50,6.504,99.387
2.987,45.376,0.26654,-44.60,6.508,99.501
2.987,45.467,0.26664,-44.60,6.510,99.700
2.987,45.454,0.26672,-44.80,6.512,99.672
2.988,45.493,0.26681,-45.00,6.514,99.757
2.988,45.741,0.26685,-45.00,6.515,100.301
2.988,46.017,0.26672,-45.10,6.512,100.906
2.988,46.006,0.26648,-44.90,6.506,100.882
2.989,45.759,0.26630,-44.90,6.501,100.340
2.989,45.574,0.26624,-44.50,6.500,99.936
2.989,45.427,0.26627,-44.30,6.501,99.613
2.989,45.440,0.26634,-44.30,6.503,99.642
2.990,45.508,0.26641,-44.30,6.504,99.790
2.990,45.549,0.26647,-44.40,6.506,99.880
2.990,45.552,0.26650,-44.40,6.507,99.887
2.991,45.614,0.26652,-44.40,6.507,100.022
2.991,45.555,0.26652,-44.40,6.507,99.893
2.991,45.609,0.26653,-44.40,6.507,100.011
2.991,45.583,0.26654,-44.50,6.508,99.956
2.992,45.874,0.26653,-44.50,6.507,100.593
2.992,45.951,0.26636,-44.40,6.503,100.762
2.992,45.898,0.26616,-44.30,6.498,100.645
2.993,45.558,0.26606,-44.30,6.495,99.900
2.993,45.253,0.26614,-43.90,6.497,99.231
2.993,45.299,0.26631,-43.90,6.502,99.332
2.993,45.331,0.26647,-43.90,6.506,99.401
2.994,45.659,0.26656,-44.10,6.508,100.122
2.994,45.944,0.26650,-44.20,6.506,100.747
2.994,45.969,0.26630,-44.20,6.501,100.801
2.994,45.947,0.26608,-44.10,6.496,100.753
2.995,45.904,0.26588,-43.70,6.491,100.659
2.995,45.692,0.26575,-43.70,6.487,100.194
2.995,45.393,0.26573,-43.20,6.487,99.537
2.996,45.372,0.26585,-43.00,6.490,99.491
2.996,45.321,0.26597,-43.00,6.493,99.380
2.996,45.393,0.26613,-43.00,6.497,99.539
2.996,45.454,0.26626,-43.20,6.500,99.673
2.997,45.624,0.26631,-43.20,6.502,100.044
2.997,45.921,0.26625,-43.40,6.500,100.695
2.997,45.961,0.26606,-43.30,6.495,100.784
2.998,45.925,0.26586,-43.30,6.490,100.704
2.998,45.869,0.26568,-43.00,6.486,100.581
2.998,45.672,0.26557,-42.60,6.483,100.150
2.998,45.461,0.26556,-42.60,6.483,99.687
2.999,45.395,0.26564,-42.40,6.485,99.543
2.999,45.446,0.26574,-42.40,6.487,99.653
2.999,45.509,0.26582,-42.40,6.489,99.792
2.999,45.519,0.26587,-42.50,6.491,99.814
3.000,45.613,0.26591,-42.60,6.491,100.021
3.000,45.846,0.26587,-42.60,6.491,100.531
3.000,45.906,0.26572,-42.60,6.487,100.662
3.001,45.874,0.26555,-42.30,6.482,100.592
3.001,45.772,0.26540,-42.30,6.479,100.368
3.001,45.585,0.26535,-41.90,6.477,99.958
3.001,45.229,0.26543,-41.80,6.479,99.178
3.002,45.398,0.26559,-41.80,6.483,99.548
3.002,45.345,0.26572,-41.90,6.487,99.432
3.002,45.540,0.26584,-42.10,6.490,99.860
3.003,45.842,0.26583,-42.10,6.490,100.522
3.003,45.905,0.26569,-42.10,6.486,100.661
3.003,45.915,0.26552,-41.90,6.482,100.683
3.003,45.865,0.26535,-41.90,6.477,100.572
3.004,45.804,0.26519,-41.50,6.473,100.439
3.004,45.568,0.26513,-41.20,6.472,99.922
3.004,45.352,0.26516,-41.20,6.472,99.447
3.004,45.409,0.26528,-41.10,6.476,99.573
3.005,45.438,0.26538,-41.20,6.478,99.636
3.005,45.421,0.26548,-41.20,6.481,99.600
3.005,45.622,0.26554,-41.30,6.482,100.039
3.006,45.861,0.26550,-41.30,6.481,100.565
3.006,45.881,0.26536,-41.30,6.478,100.608
3.006,45.877,0.26520,-41.10,6.474,100.599
3.006,45.862,0.26504,-41.10,6.469,100.566
3.007,45.714,0.26492,-40.80,6.466,100.242
3.007,45.528,0.26489,-40.50,6.466,99.835
3.007,45.369,0.26493,-40.50,6.467,99.486
3.008,45.305,0.26507,-40.40,6.470,99.344
3.008,45.381,0.26520,-40.50,6.474,99.511
3.008,45.549,0.26531,-40.50,6.476,99.880
3.008,45.786,0.26532,-40.60,6.477,100.400
3.009,45.904,0.26520,-40.60,6.474,100.659
3.009,45.854,0.26504,-40.60,6.469,100.549
3.009,45.850,0.26489,-40.40,6.466,100.539
3.009,45.785,0.26475,-40.10,6.462,100.397
3.010,45.629,0.26469,-40.10,6.461,100.054
3.010,45.417,0.26469,-39.80,6.461,99.591
3.010,45.396,0.26479,-39.70,6.463,99.546
3.011,45.393,0.26491,-39.70,6.466,99.538
3.011,45.439,0.26502,-39.70,6.469,99.639
3.011,45.519,0.26509,-39.80,6.471,99.814
3.011,45.764,0.26510,-39.80,6.471,100.351
3.012,45.863,0.26499,-39.90,6.468,100.568
3.012,45.870,0.26484,-39.70,6.464,100.585
3.012,45.834,0.26469,-39.70,6.461,100.506
3.013,45.826,0.26454,-39.50,6.457,100.488
3.013,45.629,0.26446,-39.10,6.455,100.055
3.013,45.389,0.26447,-39.10,6.455,99.530
3.013,45.336,0.26460,-39.00,6.458,99.413
3.014,45.405,0.26475,-39.00,6.462,99.565
3.014,45.386,0.26487,-39.00,6.465,99.523
3.014,45.611,0.26496,-39.10,6.467,100.016
3.014,45.840,0.26492,-39.20,6.466,100.518
3.015,45.888,0.26478,-39.20,6.463,100.624
3.015,45.862,0.26462,-39.10,6.459,100.566
3.015,45.836,0.26448,-38.90,6.455,100.508
3.016,45.831,0.26434,-38.90,6.452,100.498
3.016,45.694,0.26422,-38.50,6.449,100.199
3.016,45.491,0.26420,-38.30,6.448,99.753
3.016,45.394,0.26425,-38.30,6.449,99.541
3.017,45.444,0.26436,-38.20,6.452,99.651
3.017,45.458,0.26444,-38.30,6.454,99.682
3.017,45.488,0.26453,-38.30,6.457,99.747
3.018,45.703,0.26456,-38.40,6.457,100.218
3.018,45.836,0.26448,-38.30,6.455,100.509
3.018,45.833,0.26435,-38.30,6.452,100.503
3.018,45.815,0.26422,-38.20,6.449,100.464
3.019,45.798,0.26410,-37.90,6.446,100.426
3.019,45.740,0.26399,-37.90,6.443,100.300
3.019,45.515,0.26396,-37.70,6.442,99.805
3.019,45.396,0.26401,-37.50,6.443,99.544
3.020,45.411,0.26411,-37.50,6.446,99.578
3.020,45.453,0.26421,-37.50,6.448,99.669
3.020,45.509,0.26428,-37.60,6.450,99.791
3.021,45.674,0.26431,-37.60,6.451,100.155
3.021,45.847,0.26426,-37.60,6.450,100.534
3.021,45.833,0.26413,-37.50,6.446,100.502
3.021,45.776,0.26401,-37.50,6.443,100.378
3.022,45.804,0.26390,-37.30,6.440,100.440
3.022,45.774,0.26378,-37.28,6.437,100.374
3.022,45.580,0.26372,-37.10,6.436,99.948
3.023,45.429,0.26373,-36.90,6.436,99.617
3.023,45.453,0.26382,-36.90,6.438,99.669
3.023,45.441,0.26391,-36.80,6.441,99.644
3.023,45.454,0.26400,-36.90,6.443,99.671
3.024,45.672,0.26404,-36.90,6.444,100.149
3.024,45.823,0.26399,-36.90,6.443,100.481
3.024,45.808,0.26387,-36.80,6.440,100.448
3.024,45.800,0.26374,-36.80,6.437,100.431
3.025,45.801,0.26363,-36.60,6.434,100.434
3.025,45.768,0.26352,-36.40,6.431,100.361
3.025,45.574,0.26346,-36.40,6.429,99.935
3.026,45.403,0.26347,-36.20,6.430,99.559
3.026,45.409,0.26357,-36.10,6.432,99.572
3.026,45.432,0.26368,-36.10,6.435,99.623
3.026,45.436,0.26377,-36.10,6.437,99.632
3.027,45.670,0.26381,-36.20,6.438,100.145
3.027,45.812,0.26376,-36.20,6.437,100.456
3.027,45.805,0.26365,-36.20,6.434,100.442
3.028,45.777,0.26353,-36.00,6.431,100.381
3.028,45.797,0.26342,-36.00,6.428,100.425
3.028,45.791,0.26331,-35.80,6.426,100.410
3.028,45.750,0.26321,-35.50,6.423,100.322
3.029,45.541,0.26317,-35.50,6.422,99.862
3.029,45.400,0.26319,-35.40,6.423,99.552
3.029,45.415,0.26328,-35.30,6.425,99.587
3.029,45.432,0.26338,-35.30,6.427,99.624
3.030,45.626,0.26344,-35.40,6.429,100.049
3.030,45.772,0.26341,-35.40,6.428,100.368
3.030,45.797,0.26332,-35.40,6.426,100.424
3.031,45.767,0.26322,-35.30,6.423,100.357
3.031,45.790,0.26311,-35.10,6.421,100.408
3.031,45.772,0.26301,-35.10,6.418,100.368
3.031,45.683,0.26292,-34.90,6.416,100.175
3.032,45.506,0.26290,-34.70,6.415,99.785
3.032,45.409,0.26294,-34.70,6.416,99.574
3.032,45.425,0.26305,-34.60,6.419,99.609
3.033,45.566,0.26312,-34.70,6.421,99.918
3.033,45.725,0.26313,-34.70,6.421,100.267
3.033,45.792,0.26306,-34.70,6.419,100.412
3.033,45.761,0.26296,-34.50,6.417,100.345
3.034,45.767,0.26287,-34.50,6.414,100.358
3.034,45.748,0.26277,-34.40,6.412,100.317
3.034,45.754,0.26269,-34.20,6.410,100.330
3.034,45.602,0.26263,-34.20,6.408,99.997
3.035,45.438,0.26264,-34.00,6.408,99.636
3.035,45.422,0.26273,-33.90,6.411,99.601
3.035,45.422,0.26283,-33.90,6.413,99.602
3.036,45.562,0.26290,-34.00,6.415,99.909
3.036,45.749,0.26289,-34.00,6.415,100.320
3.036,45.792,0.26281,-34.00,6.413,100.414
3.036,45.776,0.26272,-33.90,6.410,100.378
3.037,45.749,0.26262,-33.70,6.408,100.319
3.037,45.740,0.26253,-33.70,6.406,100.299
3.037,45.740,0.26243,-33.50,6.403,100.300
3.038,45.638,0.26236,-33.30,6.401,100.076
3.038,45.448,0.26235,-33.30,6.401,99.658
3.038,45.395,0.26243,-33.20,6.403,99.543
3.038,45.426,0.26252,-33.20,6.405,99.611
3.039,45.534,0.26260,-33.20,6.408,99.847
3.039,45.732,0.26261,-33.30,6.408,100.282
3.039,45.792,0.26255,-33.30,6.406,100.413
3.039,45.747,0.26245,-33.20,6.404,100.315
3.040,45.749,0.26236,-33.10,6.401,100.318
3.040,45.730,0.26228,-33.10,6.399,100.277
3.040,45.734,0.26219,-32.90,6.397,100.285
3.041,45.731,0.26211,-32.70,6.395,100.279
3.041,45.598,0.26206,-32.70,6.394,99.988
3.041,45.434,0.26207,-32.50,6.394,99.627
3.041,45.428,0.26215,-32.50,6.396,99.615
3.042,45.543,0.26224,-32.50,6.398,99.868
3.042,45.677,0.26225,-32.50,6.399,100.160
3.042,45.769,0.26220,-32.40,6.397,100.363
3.043,45.744,0.26212,-32.40,6.395,100.308
3.043,45.760,0.26203,-32.30,6.393,100.342
3.043,45.727,0.26195,-32.20,6.391,100.270
3.043,45.723,0.26187,-32.20,6.389,100.262
3.044,45.723,0.26179,-32.00,6.387,100.263
3.044,45.559,0.26175,-31.80,6.386,99.902
3.044,45.407,0.26178,-31.80,6.387,99.569
3.044,45.425,0.26188,-31.80,6.389,99.609
3.045,45.576,0.26196,-31.80,6.391,99.940
3.045,45.722,0.26196,-31.80,6.391,100.259
3.045,45.766,0.26191,-31.80,6.390,100.357
3.046,45.754,0.26182,-31.70,6.388,100.329
3.046,45.746,0.26173,-31.70,6.385,100.311
3.046,45.716,0.26165,-31.50,6.383,100.247
3.046,45.745,0.26157,-31.30,6.381,100.311
3.047,45.712,0.26150,-31.30,6.379,100.238
3.047,45.650,0.26144,-31.20,6.378,100.101
3.047,45.495,0.26143,-31.00,6.378,99.763
3.048,45.399,0.26149,-31.00,6.379,99.552
3.048,45.501,0.26159,-31.00,6.382,99.774
3.048,45.663,0.26161,-31.00,6.382,100.130
3.048,45.730,0.26158,-31.00,6.382,100.277
3.049,45.733,0.26150,-31.00,6.380,100.284
3.049,45.717,0.26143,-30.80,6.378,100.248
3.049,45.720,0.26136,-30.80,6.376,100.256
3.049,45.745,0.26129,-30.70,6.374,100.310
3.050,45.722,0.26121,-30.50,6.372,100.260
3.050,45.723,0.26115,-30.50,6.371,100.262
3.050,45.710,0.26108,-30.40,6.369,100.234
3.051,45.599,0.26104,-30.20,6.368,99.990
3.051,45.416,0.26106,-30.20,6.368,99.588
3.051,45.399,0.26115,-30.10,6.371,99.551
3.051,45.471,0.26126,-30.20,6.373,99.710
3.052,45.669,0.26129,-30.20,6.374,100.143
3.052,45.772,0.26126,-30.20,6.373,100.368
3.052,45.766,0.26118,-30.10,6.371,100.357
3.053,45.740,0.26111,-30.10,6.370,100.298
3.053,45.745,0.26103,-30.00,6.368,100.310
3.053,45.712,0.26095,-29.80,6.366,100.238
3.053,45.727,0.26088,-29.80,6.364,100.271
3.054,45.754,0.26080,-29.70,6.362,100.329
3.054,45.709,0.26072,-29.68,6.360,100.231
3.054,45.701,0.26066,-29.50,6.358,100.215
3.054,45.658,0.26061,-29.30,6.357,100.120
3.055,45.472,0.26061,-29.30,6.357,99.712
3.055,45.431,0.26068,-29.20,6.359,99.621
3.055,45.546,0.26074,-29.20,6.360,99.873
3.056,45.709,0.26074,-29.20,6.360,100.230
3.056,45.739,0.26069,-29.20,6.359,100.297
3.056,45.716,0.26063,-29.10,6.357,100.246
3.056,45.712,0.26056,-29.10,6.356,100.237
3.057,45.722,0.26049,-29.00,6.354,100.259
3.057,45.691,0.26043,-28.90,6.352,100.192
3.057,45.721,0.26036,-28.90,6.351,100.258
3.058,45.717,0.26029,-28.70,6.349,100.249
3.058,45.607,0.26024,-28.50,6.347,100.007
3.058,45.474,0.26024,-28.50,6.348,99.715
3.058,45.406,0.26031,-28.40,6.349,99.567
3.059,45.577,0.26038,-28.40,6.351,99.942
3.059,45.680,0.26039,-28.40,6.351,100.168
3.059,45.735,0.26035,-28.40,6.350,100.287
3.059,45.735,0.26028,-28.30,6.348,100.289
3.060,45.717,0.26020,-28.30,6.347,100.250
3.060,45.719,0.26014,-28.20,6.345,100.253
3.060,45.725,0.26007,-28.00,6.343,100.265
3.061,45.711,0.26000,-28.00,6.341,100.236
3.061,45.701,0.25994,-27.90,6.340,100.214
3.061,45.695,0.25988,-27.80,6.338,100.201
3.061,45.682,0.25983,-27.80,6.337,100.171
3.062,45.563,0.25980,-27.60,6.336,99.910
3.062,45.408,0.25982,-27.60,6.337,99.570
3.062,45.532,0.25989,-27.60,6.339,99.842
3.063,45.645,0.25990,-27.50,6.339,100.091
3.063,45.731,0.25988,-27.50,6.338,100.279
3.063,45.704,0.25983,-27.50,6.337,100.219
3.063,45.702,0.25977,-27.30,6.336,100.216
3.064,45.694,0.25971,-27.20,6.334,100.198
3.064,45.695,0.25965,-27.20,6.333,100.201
3.064,45.704,0.25959,-27.10,6.331,100.219
3.064,45.686,0.25954,-27.00,6.330,100.181
3.065,45.692,0.25948,-27.00,6.328,100.194
3.065,45.677,0.25943,-26.90,6.327,100.160
3.065,45.659,0.25939,-26.70,6.326,100.120
3.066,45.575,0.25937,-26.70,6.325,99.938
3.066,45.424,0.25939,-26.60,6.326,99.606
3.066,45.571,0.25945,-26.60,6.327,99.928
3.066,45.664,0.25945,-26.60,6.328,100.132
3.067,45.714,0.25943,-26.60,6.327,100.243
3.067,45.684,0.25938,-26.50,6.326,100.177
3.067,45.714,0.25932,-26.50,6.324,100.243
3.068,45.698,0.25926,-26.40,6.323,100.206
3.068,45.689,0.25920,-26.30,6.321,100.188
3.068,45.686,0.25915,-26.30,6.320,100.181
3.068,45.679,0.25909,-26.10,6.318,100.166
3.069,45.676,0.25904,-26.00,6.317,100.158
3.069,45.687,0.25899,-26.00,6.316,100.182
3.069,45.686,0.25893,-25.90,6.314,100.180
3.069,45.667,0.25888,-25.80,6.313,100.138
3.070,45.676,0.25884,-25.80,6.312,100.158
3.070,45.668,0.25879,-25.70,6.311,100.140
3.070,45.686,0.25875,-25.70,6.310,100.182
3.071,45.677,0.25870,-25.60,6.308,100.160
3.071,45.659,0.25867,-25.50,6.308,100.121
3.071,45.659,0.25863,-25.50,6.307,100.121
3.071,45.594,0.25861,-25.30,6.306,99.979
3.072,45.525,0.25861,-25.30,6.306,99.828
3.072,45.591,0.25862,-25.30,6.306,99.972
3.072,45.640,0.25862,-25.20,6.306,100.081
3.073,45.684,0.25861,-25.20,6.306,100.176
3.073,45.665,0.25857,-25.20,6.305,100.134
3.073,45.661,0.25853,-25.10,6.304,100.126
3.073,45.681,0.25849,-25.00,6.303,100.170
3.074,45.642,0.25845,-25.00,6.302,100.084
3.074,45.645,0.25841,-24.90,6.301,100.090
3.074,45.664,0.25837,-24.70,6.300,100.132
3.074,45.639,0.25834,-24.70,6.299,100.077
3.075,45.654,0.25831,-24.70,6.298,100.111
3.075,45.680,0.25827,-24.60,6.297,100.168
3.075,45.652,0.25822,-24.60,6.296,100.107
3.076,45.681,0.25819,-24.40,6.295,100.170
3.076,45.661,0.25815,-24.40,6.294,100.125
3.076,45.673,0.25811,-24.40,6.293,100.153
3.076,45.664,0.25807,-24.30,6.292,100.132
3.077,45.670,0.25803,-24.10,6.291,100.145
3.077,45.647,0.25800,-24.10,6.291,100.095
3.077,45.669,0.25796,-24.10,6.290,100.143
3.078,45.682,0.25791,-24.00,6.288,100.173
3.078,45.649,0.25788,-24.00,6.288,100.099
3.078,45.673,0.25785,-23.80,6.287,100.152
3.078,45.679,0.25781,-23.80,6.286,100.166
3.079,45.665,0.25777,-23.80,6.285,100.135
3.079,45.662,0.25773,-23.70,6.284,100.127
3.079,45.660,0.25769,-23.60,6.283,100.125
3.079,45.640,0.25765,-23.60,6.282,100.080
3.080,45.647,0.25762,-23.50,6.281,100.095
3.080,45.655,0.25759,-23.40,6.280,100.112
3.080,45.651,0.25756,-23.40,6.279,100.104
3.081,45.666,0.25753,-23.30,6.279,100.137
3.081,45.658,0.25749,-23.20,6.278,100.119
3.081,45.667,0.25745,-23.20,6.277,100.140
3.081,45.663,0.25742,-23.10,6.276,100.131
3.082,45.676,0.25738,-23.00,6.275,100.158
3.082,45.649,0.25734,-23.00,6.274,100.098
3.082,45.667,0.25731,-22.90,6.273,100.140
3.083,45.654,0.25728,-22.80,6.272,100.110
3.083,45.666,0.25725,-22.80,6.272,100.137
3.083,45.648,0.25721,-22.70,6.271,100.098
3.083,45.657,0.25718,-22.70,6.270,100.117
3.084,45.636,0.25715,-22.70,6.269,100.070
3.084,45.660,0.25712,-22.60,6.268,100.122
3.084,45.624,0.25709,-22.50,6.268,100.045
3.084,45.672,0.25707,-22.50,6.267,100.149
3.085,45.650,0.25704,-22.40,6.266,100.103
3.085,45.659,0.25700,-22.40,6.265,100.122
3.085,45.653,0.25696,-22.40,6.264,100.108
3.086,45.666,0.25693,-22.30,6.263,100.137
3.086,45.658,0.25689,-22.30,6.262,100.119
3.086,45.644,0.25685,-22.20,6.261,100.088
3.086,45.687,0.25681,-22.10,6.260,100.182
3.087,45.654,0.25677,-22.10,6.259,100.110
3.087,45.685,0.25672,-22.00,6.258,100.179
3.087,45.715,0.25668,-21.90,6.257,100.244
3.088,45.696,0.25662,-21.90,6.256,100.204
3.088,45.695,0.25657,-21.80,6.254,100.200
3.088,45.674,0.25652,-21.70,6.253,100.154
3.088,45.671,0.25647,-21.70,6.252,100.148
3.089,45.678,0.25643,-21.60,6.251,100.164
3.089,45.654,0.25639,-21.50,6.250,100.110
3.089,45.659,0.25635,-21.50,6.249,100.122
3.089,45.662,0.25631,-21.40,6.248,100.128
3.090,45.663,0.25628,-21.40,6.247,100.130
3.090,45.618,0.25625,-21.40,6.246,100.032
3.090,45.639,0.25622,-21.30,6.246,100.078
3.091,45.661,0.25619,-21.20,6.245,100.126
3.091,45.651,0.25617,-21.20,6.244,100.105
3.091,45.641,0.25613,-21.10,6.243,100.082
3.091,45.682,0.25610,-21.00,6.242,100.171
3.092,45.649,0.25606,-21.00,6.241,100.100
3.092,45.662,0.25603,-21.00,6.241,100.127
3.092,45.677,0.25598,-20.90,6.239,100.161
3.093,45.659,0.25594,-20.90,6.238,100.121
3.093,45.692,0.25590,-20.80,6.237,100.193
3.093,45.662,0.25585,-20.70,6.236,100.128
3.093,45.699,0.25581,-20.70,6.235,100.209
3.094,45.667,0.25576,-20.60,6.234,100.138
3.094,45.678,0.25572,-20.50,6.233,100.164
3.094,45.661,0.25567,-20.50,6.232,100.125
3.094,45.669,0.25563,-20.50,6.230,100.144
3.095,45.690,0.25558,-20.40,6.229,100.190
3.095,45.693,0.25554,-20.40,6.228,100.197
3.095,45.675,0.25550,-20.30,6.227,100.155
3.096,45.674,0.25546,-20.20,6.226,100.153
3.096,45.672,0.25542,-20.20,6.225,100.149
3.096,45.685,0.25537,-20.10,6.224,100.178
3.096,45.678,0.25533,-20.00,6.223,100.162
3.097,45.667,0.25529,-20.00,6.222,100.139
3.097,45.673,0.25524,-20.00,6.221,100.152
3.097,45.648,0.25521,-19.90,6.220,100.097
3.098,45.648,0.25518,-19.90,6.219,100.096
3.098,45.638,0.25515,-19.80,6.218,100.075
3.098,45.668,0.25512,-19.70,6.217,100.141
3.098,45.665,0.25508,-19.70,6.216,100.135
3.099,45.661,0.25504,-19.60,6.216,100.126
3.099,45.670,0.25500,-19.50,6.215,100.145
3.099,45.648,0.25497,-19.50,6.214,100.098
3.099,45.672,0.25493,-19.50,6.213,100.149
3.100,45.681,0.25489,-19.40,6.212,100.169
3.100,45.698,0.25484,-19.40,6.210,100.208
3.100,45.709,0.25480,-19.30,6.209,100.231
3.101,45.666,0.25474,-19.20,6.208,100.137
3.101,45.676,0.25470,-19.20,6.207,100.158
3.101,45.670,0.25466,-19.20,6.206,100.146
3.101,45.657,0.25461,-19.10,6.205,100.116
3.102,45.657,0.25458,-19.10,6.204,100.117
3.102,45.665,0.25454,-19.00,6.203,100.134
3.102,45.688,0.25450,-19.00,6.202,100.184
3.103,45.685,0.25445,-18.90,6.201,100.179
3.103,45.667,0.25440,-18.80,6.199,100.138
3.103,45.695,0.25435,-18.80,6.198,100.201
3.103,45.681,0.25430,-18.80,6.197,100.170
3.104,45.699,0.25424,-18.70,6.195,100.208
3.104,45.691,0.25419,-18.70,6.194,100.192
3.104,45.666,0.25413,-18.50,6.192,100.136
3.104,45.674,0.25409,-18.50,6.191,100.155
3.105,45.679,0.25404,-18.50,6.190,100.164
3.105,45.683,0.25398,-18.40,6.189,100.174
3.105,45.666,0.25393,-18.30,6.187,100.136
3.106,45.683,0.25389,-18.30,6.186,100.174
3.106,45.693,0.25384,-18.20,6.185,100.196
3.106,45.677,0.25378,-18.20,6.184,100.160
3.106,45.677,0.25372,-18.20,6.182,100.160
3.107,45.684,0.25367,-18.00,6.181,100.176
3.107,45.676,0.25362,-17.90,6.179,100.158
3.107,45.703,0.25356,-17.90,6.178,100.217
3.108,45.685,0.25350,-17.80,6.176,100.178
3.108,45.677,0.25345,-17.70,6.175,100.162
3.108,45.702,0.25340,-17.70,6.174,100.215
3.108,45.703,0.25334,-17.70,6.172,100.218
3.109,45.709,0.25330,-17.60,6.171,100.230
3.109,45.679,0.25325,-17.60,6.170,100.164
3.109,45.665,0.25321,-17.50,6.169,100.134
3.109,45.666,0.25317,-17.40,6.168,100.137
3.110,45.665,0.25313,-17.40,6.167,100.135
3.110,45.661,0.25309,-17.40,6.166,100.126
3.110,45.681,0.25304,-17.30,6.165,100.169
3.111,45.676,0.25300,-17.30,6.164,100.159
3.111,45.657,0.25296,-17.20,6.163,100.116
3.111,45.654,0.25292,-17.10,6.162,100.111
3.111,45.712,0.25287,-17.10,6.160,100.238
3.112,45.686,0.25282,-17.10,6.159,100.181
3.112,45.683,0.25277,-17.00,6.158,100.174
3.112,45.690,0.25272,-17.00,6.157,100.188
3.113,45.719,0.25266,-16.90,6.155,100.253
3.113,45.715,0.25259,-16.80,6.153,100.244
3.113,45.706,0.25254,-16.80,6.152,100.223
3.113,45.704,0.25248,-16.70,6.150,100.221
3.114,45.728,0.25241,-16.60,6.149,100.272
3.114,45.700,0.25235,-16.60,6.147,100.211
3.114,45.689,0.25228,-16.50,6.145,100.188
3.114,45.696,0.25223,-16.40,6.144,100.202
3.115,45.704,0.25217,-16.40,6.142,100.219
3.115,45.718,0.25211,-16.30,6.141,100.251
3.115,45.715,0.25204,-16.20,6.139,100.245
3.116,45.700,0.25196,-16.20,6.137,100.212
3.116,45.706,0.25191,-16.20,6.136,100.224
