FLUKE 287,  V1.16,38020004,,,,,,,,
,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,
,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,
4/7/2021 13:45,4/7/2021 13:49,0:04:08,0:00:02,168,125,48,Save 33,,,
Max Time,Max,Average,Min,Min Time,Scaling,,,,,
4/7/2021 13:46,151.3,79.5,26.8,4/7/2021 13:45,(none),,,,,
,,,,,,,,,,
Reading,,Start Time,Duration,Max Time,Max °C,Average °C,Min Time,Min °C,Description,Stop Time
77,,47:09.3,00:01.8,47:09.3,39.3,39.2,47:10.5,39.1,Interval,47:11.1
78,,47:11.1,00:01.9,47:11.1,39,38.8,47:12.7,38.6,Interval,47:13.0
79,,47:13.0,00:02.2,47:13.0,38.5,38.3,47:14.9,38.1,Interval,47:15.3
80,,47:15.3,00:01.9,47:15.3,38.1,37.9,47:16.7,37.7,Interval,47:17.2
81,,47:17.2,00:02.2,47:17.2,37.7,37.5,47:19.0,37.3,Interval,47:19.4
82,,47:19.4,00:01.8,47:19.4,37.2,37.1,47:20.9,36.9,Interval,47:21.2
83,,47:21.2,00:01.9,47:21.2,36.9,36.8,47:22.8,36.6,Interval,47:23.1
84,,47:23.1,00:01.9,47:23.1,36.5,36.4,47:24.6,36.3,Interval,47:25.0
85,,47:25.0,00:02.2,47:25.0,36.3,36.1,47:26.5,36,Interval,47:27.3
86,,47:27.3,00:01.8,47:27.3,35.9,35.8,47:28.4,35.7,Interval,47:29.0
87,,47:29.0,00:02.3,47:29.0,35.6,35.5,47:30.6,35.4,Interval,47:31.3
88,,47:31.3,00:01.9,47:31.3,35.4,35.3,47:32.1,35.2,Interval,47:33.2
89,,47:33.2,00:01.9,47:33.2,35.1,35,47:34.7,34.9,Interval,47:35.1
90,,47:35.1,00:02.2,47:35.1,34.9,34.8,47:36.9,34.6,Interval,47:37.4
91,,47:37.4,00:01.8,47:37.4,34.6,34.5,47:37.7,34.5,Interval,47:39.1
92,,47:39.1,00:01.6,47:40.3,38.4,36.5,47:39.1,34.5,Unstable,47:40.7
93,,47:40.7,00:00.3,47:40.7,40.2,40.2,47:40.7,40.2,Interval,47:41.0
94,,47:41.0,00:01.9,47:42.5,46.5,44,47:41.0,41.4,Unstable,47:43.0
95,,47:43.0,00:00.3,47:43.0,48.4,48.4,47:43.0,48.4,Interval,47:43.3
96,,47:43.3,00:00.8,47:43.6,51.1,50.5,47:43.3,49.8,Unstable,47:44.1
97,,47:44.1,00:01.1,47:44.7,55.4,54.2,47:44.1,53,Interval,47:45.2
98,,47:45.2,00:01.1,47:45.9,59.6,58.3,47:45.2,57.1,Stable,47:46.3
99,,47:46.3,00:00.7,47:46.7,62.4,61.8,47:46.3,61.2,Interval,47:47.0
100,,47:47.0,00:01.1,47:47.8,66.2,64.9,47:47.0,63.5,Stable,47:48.1
101,,47:48.1,00:01.1,47:48.9,70,68.8,47:48.1,67.4,Interval,47:49.2
102,,47:49.2,00:01.6,47:50.3,74.7,73,47:49.2,71.1,Stable,47:50.8
103,,47:50.8,00:00.3,47:50.8,76.1,76.1,47:50.8,76.1,Interval,47:51.1
104,,47:51.1,00:01.4,47:52.2,80.2,78.6,47:51.1,77,Stable,47:52.6
105,,47:52.6,00:00.5,47:52.6,81.2,81.2,47:52.6,81.2,Interval,47:53.0
106,,47:53.0,00:01.4,47:54.2,86.4,84.4,47:53.0,82.6,Stable,47:54.5
107,,47:54.5,00:00.8,47:54.8,88.6,88.1,47:54.5,87.5,Interval,47:55.3
108,,47:55.3,00:01.5,47:56.4,94.1,92,47:55.3,90.1,Stable,47:56.7
109,,47:56.7,00:00.3,47:56.7,94.7,94.7,47:56.7,94.7,Interval,47:57.1
110,,47:57.1,00:01.6,47:58.2,99.9,97.7,47:57.1,95.4,Stable,47:58.6
111,,47:58.6,00:00.3,47:58.6,101.3,101.3,47:58.6,101.3,Interval,47:59.0
112,,47:59.0,00:01.4,48:00.1,106.3,104.1,47:59.0,102,Stable,48:00.4
113,,48:00.4,00:00.8,48:00.9,108.6,108.2,48:00.4,107.7,Interval,48:01.2
114,,48:01.2,00:01.4,48:02.3,114,111.6,48:01.2,109.3,Stable,48:02.7
115,,48:02.7,00:00.5,48:02.7,114.9,114.9,48:02.7,114.9,Interval,48:03.1
116,,48:03.1,00:01.5,48:04.2,120.2,118,48:03.1,116,Stable,48:04.6
117,,48:04.6,00:00.8,48:04.9,121.8,121.6,48:04.6,121.3,Interval,48:05.4
118,,48:05.4,00:01.8,48:06.8,128.4,125.9,48:05.4,123.1,Interval,48:07.1
119,,48:07.1,00:01.9,48:08.7,134.5,132.1,48:07.1,129.5,Interval,48:09.1
120,,48:09.1,00:02.2,48:11.0,139.6,137.1,48:09.1,134.8,Interval,48:11.3
121,,48:11.3,00:01.9,48:12.8,144.3,142.5,48:11.3,140.4,Interval,48:13.2
122,,48:13.2,00:01.8,48:14.7,146.3,145.3,48:13.2,144.7,Interval,48:15.0
123,,48:15.0,00:02.3,48:16.9,150.3,148.5,48:15.0,146.5,Interval,48:17.2
124,,48:17.2,00:01.9,48:18.0,151,150.9,48:17.2,150.5,Interval,48:19.2
125,,48:19.2,00:01.9,48:19.2,150.7,150,48:20.6,149.2,Interval,48:21.1
126,,48:21.1,00:02.2,48:21.1,148.7,147.4,48:22.9,145.9,Interval,48:23.3
127,,48:23.3,00:01.8,48:23.3,144.9,143.6,48:24.8,142.2,Interval,48:25.1
128,,48:25.1,00:01.9,48:25.1,141.5,138.8,48:26.7,135.6,Interval,48:27.0
129,,48:27.0,00:01.5,48:27.0,133.9,130.8,48:28.1,127.8,Stable,48:28.5
130,,48:28.5,00:00.8,48:28.5,126,124.9,48:28.9,123.7,Interval,48:29.3
131,,48:29.3,00:01.5,48:29.3,122.1,119.6,48:30.4,117.1,Stable,48:30.7
132,,48:30.7,00:00.5,48:30.7,115.7,115.7,48:30.7,115.7,Interval,48:31.2
133,,48:31.2,00:01.8,48:31.2,113.9,111.4,48:32.6,108.8,Stable,48:32.9
134,,48:32.9,00:00.5,48:32.9,107.9,107.9,48:32.9,107.9,Interval,48:33.4
135,,48:33.4,00:01.8,48:33.4,106.7,105.1,48:34.9,103.6,Interval,48:35.2
136,,48:35.2,00:01.9,48:35.2,102.9,101.6,48:36.8,100.3,Interval,48:37.1
137,,48:37.1,00:01.9,48:37.1,99.7,98.3,48:38.6,96.8,Interval,48:39.0
138,,48:39.0,00:02.2,48:39.0,95.8,93.8,48:40.8,91.8,Interval,48:41.3
139,,48:41.3,00:01.8,48:41.3,90.8,89.3,48:42.7,87.8,Interval,48:43.0
140,,48:43.0,00:02.2,48:43.0,87.2,85.4,48:44.9,83.7,Interval,48:45.3
141,,48:45.3,00:01.9,48:45.3,83.2,81.9,48:46.9,80.8,Interval,48:47.2
142,,48:47.2,00:01.9,48:47.2,80.3,79.3,48:48.6,78.3,Interval,48:49.1
