"Test Method:,""3Point_Bending.msm"""

"Sample,""Spcmn"",""Width"",""Thickness"",""Peak Load"",""Peak Stress"",""Strain At Break"",""Modulus"",""Stress At Yield"",""Strain At Yield"",""Load At Yield"",""Elongation At Break"",""Elongation at Peak"",""Adjusted Gage Length"",""FlexuralStress"",""FlexuralStrain"""
"I. D.,""No."",""mm"",""mm"",""N"",""MPa"",""mm/mm"",""MPa"",""MPa"",""mm/mm"",""N"",""mm"",""mm"",""mm"",""MPa"",""mm/mm"""

"Sample34.mss,""1"",""40.000"",""5.000"",""-1.761"",""-0.0"",""****"",""****"",""-0.024"",""-0.009"",""-4.836"",""****"",""-0.003"",""3.175"",""-198.98"",""-0.013"""
"Sample34.mss,""2"",""40.000"",""5.000"",""-4.395"",""-0.0"",""****"",""****"",""-3.327"",""-0.090"",""-665.328"",""****"",""-0.003"",""3.175"",""-249.97"",""-0.009"""
"Sample34.mss,""3"",""40.000"",""5.000"",""-17.235"",""-0.1"",""****"",""****"",""-3.328"",""-0.081"",""-665.624"",""****"",""-0.003"",""3.175"",""-49.94"",""-0.005"""


"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""3"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"24.000,-566.458,-0.239,105.000,-42.484,****"
"24.200,-573.421,-0.240,105.000,-43.007,****"
"24.400,-580.907,-0.243,105.000,-43.568,****"
"24.600,-588.760,-0.245,105.000,-44.157,****"
"24.800,-596.736,-0.247,105.000,-44.755,****"
"25.000,-603.634,-0.249,105.000,-45.273,****"
"25.200,-611.489,-0.251,105.000,-45.862,****"
"25.400,-619.130,-0.253,105.000,-46.435,****"
"25.600,-627.205,-0.255,105.000,-47.040,****"
"25.800,-635.181,-0.257,105.000,-47.639,****"
"26.000,-642.909,-0.258,105.000,-48.218,****"
"26.200,-650.710,-0.260,105.000,-48.803,****"
"26.400,-659.001,-0.263,105.000,-49.425,****"
"26.580,-666.026,-0.264,105.000,-49.952,****"
"39.400,-666.109,-0.264,105.000,-49.958,****"
"52.200,-666.156,-0.264,105.000,-49.962,****"
"65.000,-665.733,-0.263,105.000,-49.930,****"
"77.800,-666.309,-0.263,105.000,-49.973,****"
"90.600,-666.276,-0.262,105.000,-49.971,****"
"103.400,-666.375,-0.262,105.000,-49.978,****"
"116.200,-665.811,-0.262,105.000,-49.936,****"
"129.000,-665.708,-0.261,105.000,-49.928,****"
"141.800,-666.553,-0.261,105.000,-49.991,****"
"154.600,-666.049,-0.261,105.000,-49.954,****"
"167.400,-666.046,-0.260,105.000,-49.953,****"
