"Test Method,""SMA-CFTC.msm"""
"Sample I. D.,""+7 cycles.mss"""
"Specimen Number,""1"""

"Time (h),""Load (N)"",""Crosshead (in)"",""Temperature Chamber (C)"",""Extension (mm)"",""Stress (MPa)"""
"0.043,240.142,0.01528,50.10,0.209,526.584"
"0.044,241.689,0.01538,50.10,0.211,529.977"
"0.044,243.209,0.01548,50.10,0.214,533.311"
"0.044,244.582,0.01558,50.10,0.216,536.321"
"0.044,246.172,0.01567,50.00,0.219,539.807"
"0.045,247.786,0.01577,50.00,0.221,543.347"
"0.045,249.406,0.01587,50.10,0.224,546.898"
"0.045,251.036,0.01597,50.10,0.226,550.473"
"0.046,252.697,0.01607,50.10,0.229,554.116"
"0.046,254.270,0.01617,50.10,0.231,557.565"
"0.046,255.869,0.01627,50.10,0.234,561.070"
"0.046,257.412,0.01637,50.10,0.236,564.454"
"0.047,258.879,0.01646,50.10,0.239,567.671"
"0.047,260.416,0.01656,50.10,0.241,571.042"
"0.047,262.059,0.01666,50.10,0.244,574.644"
"0.048,263.736,0.01676,50.10,0.246,578.323"
"0.048,265.432,0.01686,50.10,0.249,582.041"
"0.048,267.185,0.01696,50.10,0.251,585.885"
"0.048,268.855,0.01706,50.10,0.254,589.546"
"0.049,270.510,0.01715,50.10,0.256,593.176"
"0.049,272.241,0.01725,50.10,0.259,596.972"
"0.049,274.020,0.01735,50.10,0.262,600.872"
"0.049,275.684,0.01745,50.10,0.264,604.523"
"0.050,276.891,0.01755,50.10,0.266,607.168"
"0.050,278.641,0.01765,50.10,0.269,611.006"
"0.050,279.831,0.01774,50.10,0.271,613.615"
"0.051,281.610,0.01784,50.10,0.274,617.515"
"0.051,283.409,0.01794,50.10,0.276,621.460"
"0.051,285.247,0.01804,50.10,0.279,625.492"
"0.051,287.118,0.01814,50.10,0.281,629.595"
"0.052,288.918,0.01824,50.10,0.284,633.541"
"0.052,290.684,0.01834,50.10,0.287,637.414"
"0.052,292.437,0.01843,50.10,0.289,641.258"
"0.053,294.237,0.01853,50.10,0.291,645.204"
"0.053,295.976,0.01863,50.10,0.294,649.017"
"0.053,297.823,0.01873,50.10,0.297,653.068"
"0.053,299.593,0.01883,50.00,0.299,656.950"
"0.054,301.333,0.01893,50.10,0.301,660.766"
"0.054,303.131,0.01903,50.10,0.304,664.707"
"0.054,304.960,0.01913,50.10,0.307,668.718"
"0.054,306.787,0.01922,50.00,0.309,672.724"
"0.055,308.643,0.01932,50.00,0.312,676.794"
"0.055,310.477,0.01942,50.00,0.314,680.815"
"0.055,312.401,0.01952,50.10,0.317,685.036"
"0.056,314.252,0.01962,50.10,0.319,689.093"
"0.056,316.152,0.01972,50.00,0.322,693.261"
