"Test Method,""SMA-CFTC.msm"""
"Sample I. D.,""+7 cycles.mss"""
"Specimen Number,""1"""

"Time (h),""Load (N)"",""Crosshead (in)"",""Temperature Chamber (C)"",""Extension (mm)"",""Stress (MPa)"""
"3.686,1094.749,1.02595,-29.60,25.880,2400.572"
"3.695,1095.763,1.02986,-29.90,25.979,2402.795"
"3.704,1094.601,1.02920,-26.90,25.963,2400.247"
"3.713,1095.013,1.02735,-25.00,25.915,2401.152"
"3.721,1095.575,1.02748,-22.80,25.919,2402.383"
"3.730,1095.565,1.02691,-21.00,25.904,2402.362"
"3.739,1094.746,1.02448,-18.40,25.842,2400.566"
"3.748,1094.709,1.02195,-16.30,25.778,2400.484"
"3.757,1095.238,1.01943,-14.30,25.714,2401.645"
"3.766,1095.172,1.01652,-12.20,25.640,2401.499"
"3.775,1095.150,1.01370,-10.30,25.569,2401.451"
"3.784,1095.177,1.01072,-8.60,25.493,2401.511"
"3.793,1095.171,1.00745,-6.80,25.410,2401.497"
"3.801,1095.255,1.00364,0.00,25.313,2401.681"
"3.810,1095.268,0.99929,-3.10,25.203,2401.709"
"3.819,1095.243,0.99413,-1.20,25.072,2401.655"
"3.828,1095.303,0.98850,0.70,24.929,2401.787"
"3.837,1095.253,0.98162,2.80,24.754,2401.677"
"3.846,1095.466,0.97345,5.00,24.546,2402.144"
"3.855,1095.719,0.96370,7.10,24.299,2402.699"
"3.864,1095.663,0.95133,9.20,23.985,2402.577"
"3.873,1095.964,0.93643,11.30,23.606,2403.236"
"3.881,1096.181,0.91847,13.40,23.150,2403.712"
"3.890,1096.519,0.89243,15.60,22.488,2404.454"
"3.899,1097.073,0.85746,17.70,21.600,2405.667"
"3.908,1098.576,0.80253,20.00,20.205,2408.965"
"3.917,1099.773,0.71661,22.10,18.023,2411.589"
"3.926,1098.539,0.63120,24.30,15.853,2408.882"
"3.935,1097.260,0.57646,26.40,14.463,2406.078"
"3.944,1096.927,0.53830,28.40,13.494,2405.348"
"3.953,1096.016,0.50943,30.60,12.760,2403.349"
"3.961,1096.148,0.48765,32.70,12.207,2403.639"
"3.970,1095.866,0.47027,35.00,11.766,2403.022"
"3.979,1095.762,0.45476,37.10,11.372,2402.794"
"3.988,1095.796,0.44324,39.20,11.079,2402.868"
"3.997,1095.656,0.43383,41.30,10.840,2402.560"
"4.006,1095.319,0.42646,43.40,10.653,2401.821"
"4.015,1095.270,0.42124,45.50,10.520,2401.714"
"4.024,1095.182,0.41715,47.60,10.416,2401.521"
"4.033,1095.000,0.41456,49.50,10.350,2401.123"
"4.041,1095.020,0.41372,50.30,10.329,2401.167"
"4.050,1095.037,0.41335,50.50,10.320,2401.205"
"4.059,1095.116,0.41308,50.70,10.313,2401.378"
"4.068,1095.005,0.41287,50.50,10.308,2401.133"
"4.077,1094.962,0.41278,50.40,10.305,2401.040"
"4.086,1094.937,0.41314,49.10,10.314,2400.984"
"4.095,1095.024,0.41345,47.60,10.322,2401.175"
"4.104,1094.964,0.41382,46.00,10.332,2401.042"
"4.113,1094.988,0.41417,44.50,10.341,2401.096"
"4.121,1094.951,0.41454,43.00,10.350,2401.014"
"4.130,1094.965,0.41499,41.50,10.361,2401.046"
"4.139,1094.979,0.41534,40.20,10.370,2401.077"
"4.148,1094.970,0.41578,38.80,10.382,2401.056"
"4.157,1094.984,0.41652,37.00,10.400,2401.087"
"4.166,1094.897,0.41760,34.70,10.428,2400.898"
"4.175,1095.575,0.42247,28.70,10.551,2402.384"
"4.184,1094.689,0.42288,27.40,10.562,2400.440"
"4.193,1094.777,0.42533,25.00,10.624,2400.634"
"4.201,1094.562,0.42730,23.20,10.674,2400.162"
"4.210,1095.635,0.43019,20.10,10.747,2402.515"
"4.219,1094.400,0.43206,19.10,10.795,2399.806"
"4.228,1095.041,0.43750,16.10,10.933,2401.212"
"4.237,1095.728,0.44637,13.40,11.159,2402.719"
"4.246,1093.777,0.44933,12.20,11.234,2398.440"
"4.255,1094.119,0.46069,10.10,11.522,2399.192"
"4.264,1095.835,0.46984,7.40,11.755,2402.954"
"4.273,1094.805,0.48280,6.40,12.084,2400.696"
"4.281,1094.062,0.49602,4.20,12.420,2399.066"
"4.290,1096.471,0.52170,0.70,13.072,2404.347"
"4.299,1092.876,0.54568,0.00,13.681,2396.464"
"4.308,1093.686,0.58180,-2.70,14.598,2398.240"
"4.317,1094.791,0.61387,-4.20,15.413,2400.664"
"4.326,1095.134,0.66585,-6.00,16.733,2401.415"
"4.335,1090.167,0.72379,-8.40,18.205,2390.524"
"4.344,1092.937,0.80207,-10.80,20.193,2396.598"
"4.353,1093.050,0.85549,-12.60,21.550,2396.847"
"4.361,1094.640,0.88167,-14.80,22.215,2400.332"
"4.370,1094.355,0.91474,-17.10,23.055,2399.708"
"4.379,1082.662,0.94075,-19.20,23.716,2374.068"
"4.388,1093.059,0.96157,-21.10,24.245,2396.867"
"4.397,1095.333,0.97593,-24.00,24.609,2401.852"
"4.406,1089.772,0.99409,-26.40,25.071,2389.658"
"4.415,1093.376,1.00717,-27.40,25.403,2397.562"
"4.424,1095.272,1.01978,-30.00,25.723,2401.719"
"4.433,1094.279,1.02529,-29.20,25.863,2399.541"
"4.441,1094.268,1.02965,-29.70,25.974,2399.518"
"4.450,1095.017,1.03378,-29.40,26.079,2401.160"
"4.459,1095.427,1.03751,-29.70,26.173,2402.059"
"4.468,1095.962,1.04125,-30.20,26.269,2403.233"
"4.477,1095.703,1.04195,-29.00,26.286,2402.664"
"4.486,1095.765,1.04225,-26.90,26.294,2402.801"
"4.495,1095.646,1.04169,-24.70,26.280,2402.538"
"4.504,1095.606,1.04062,-22.10,26.252,2402.452"
"4.513,1094.681,1.03693,-19.60,26.159,2400.423"
"4.521,1095.370,1.03555,-18.00,26.124,2401.934"
"4.530,1094.571,1.03287,-15.60,26.056,2400.182"
"4.539,1095.210,1.02999,-13.60,25.983,2401.583"
"4.548,1095.138,1.02709,-11.60,25.909,2401.425"
"4.557,1095.161,1.02421,-9.70,25.836,2401.476"
"4.566,1095.181,1.02112,-8.00,25.757,2401.519"
"4.575,1095.200,1.01755,-6.20,25.667,2401.560"
"4.584,1095.269,1.01316,-4.40,25.555,2401.713"
"4.593,1095.279,1.00794,-2.60,25.422,2401.734"
"4.601,1095.313,1.00187,-0.60,25.268,2401.808"
"4.610,1095.480,0.99568,1.40,25.111,2402.175"
"4.619,1095.305,0.98805,3.60,24.917,2401.792"
"4.628,1095.500,0.97859,5.60,24.677,2402.218"
"4.637,1095.700,0.96762,7.80,24.398,2402.658"
"4.646,1095.875,0.95311,9.90,24.030,2403.040"
"4.655,1096.207,0.93543,12.00,23.581,2403.770"
"4.664,1096.459,0.91279,14.20,23.006,2404.322"
"4.673,1096.984,0.88122,16.30,22.204,2405.473"
"4.681,1097.502,0.83165,18.50,20.945,2406.608"
"4.690,1099.667,0.75739,20.60,19.059,2411.357"
"4.699,1098.991,0.66861,22.80,16.804,2409.874"
"4.708,1097.121,0.60570,25.00,15.206,2405.774"
"4.717,1096.998,0.56274,26.70,14.114,2405.504"
"4.726,1095.764,0.52454,29.30,13.144,2402.798"
"4.735,1096.357,0.51346,31.30,12.863,2404.099"
"4.744,1095.995,0.49201,33.50,12.318,2403.304"
"4.753,1095.916,0.47670,35.70,11.929,2403.132"
"4.761,1095.628,0.46460,37.70,11.622,2402.500"
"4.770,1095.581,0.45465,39.90,11.369,2402.397"
"4.779,1095.373,0.44638,42.10,11.159,2401.940"
"4.788,1095.369,0.44109,44.10,11.025,2401.931"
"4.797,1095.212,0.43653,46.30,10.909,2401.587"
"4.806,1095.130,0.43312,48.40,10.822,2401.409"
"4.815,1095.120,0.43158,49.70,10.783,2401.385"
"4.824,1095.063,0.43093,50.40,10.766,2401.261"
"4.833,1094.981,0.43066,50.60,10.759,2401.081"
"4.841,1094.923,0.43050,50.60,10.755,2400.954"
"4.850,1094.924,0.43036,50.50,10.752,2400.957"
"4.859,1094.935,0.43053,49.90,10.756,2400.980"
"4.868,1094.959,0.43089,48.40,10.765,2401.033"
"4.877,1094.939,0.43127,46.80,10.775,2400.988"
"4.886,1094.975,0.43167,45.20,10.785,2401.068"
"4.895,1094.997,0.43208,43.60,10.796,2401.117"
"4.904,1095.007,0.43261,42.00,10.809,2401.138"
"4.913,1094.951,0.43318,40.20,10.824,2401.014"
"4.921,1094.957,0.43385,38.30,10.841,2401.027"
"4.930,1094.824,0.43533,35.60,10.878,2400.736"
"4.939,1094.710,0.43958,30.20,10.986,2400.485"
"4.948,1095.410,0.43998,27.80,10.996,2402.022"
"4.957,1094.011,0.44298,26.20,11.072,2398.953"
"4.966,1095.648,0.44435,23.00,11.107,2402.543"
"4.975,1093.944,0.44576,21.80,11.143,2398.808"
"4.984,1094.628,0.45109,19.90,11.278,2400.307"
"4.993,1095.762,0.45440,16.94,11.362,2402.793"
"5.001,1094.375,0.45978,15.80,11.499,2399.753"
"5.010,1094.357,0.46483,13.90,11.628,2399.713"
"5.019,1094.968,0.47418,11.40,11.865,2401.052"
"5.028,1094.983,0.48312,9.50,12.092,2401.086"
"5.037,1091.127,0.49391,7.30,12.366,2392.630"
"5.046,1096.513,0.51805,4.10,12.979,2404.440"
"5.055,1093.814,0.53436,3.20,13.393,2398.523"
"5.064,1094.400,0.56297,0.70,14.120,2399.806"
"5.073,1095.697,0.58166,-1.90,14.595,2402.651"
"5.081,1094.480,0.61557,-3.40,15.456,2399.983"
"5.090,1079.206,0.65263,-5.20,16.397,2366.488"
"5.099,1091.824,0.72451,0.00,18.223,2394.158"
"5.108,1085.668,0.77257,-9.30,19.444,2380.659"
"5.117,1094.212,0.82989,-12.10,20.900,2399.396"
"5.126,1087.083,0.87437,-14.80,22.030,2383.762"
"5.135,1095.172,0.89883,-16.20,22.651,2401.500"
"5.144,1091.114,0.93502,-19.10,23.570,2392.601"
"5.153,1094.988,0.95196,-20.10,24.001,2401.096"
"5.161,1091.330,0.97026,-21.80,24.465,2393.074"
"5.170,1094.089,0.99048,-24.00,24.979,2399.124"
"5.179,1094.635,1.00398,-25.90,25.322,2400.323"
"5.188,1094.167,1.02352,-29.80,25.818,2399.297"
"5.197,1094.871,1.02868,-29.80,25.949,2400.841"
"5.206,1095.765,1.03132,-30.10,26.016,2402.800"
"5.215,1094.980,1.03489,-29.80,26.107,2401.079"
"5.224,1094.413,1.03854,-29.20,26.200,2399.835"
"5.233,1094.727,1.04189,-29.30,26.285,2400.524"
"5.241,1094.732,1.04413,-28.80,26.342,2400.535"
"5.250,1094.617,1.04538,-27.30,26.373,2400.282"
"5.259,1094.219,1.04297,-24.80,26.312,2399.410"
"5.268,1095.592,1.04149,-23.20,26.275,2402.421"
"5.277,1095.503,1.04063,-21.50,26.253,2402.226"
"5.286,1095.416,1.03894,-19.10,26.210,2402.034"
"5.295,1095.249,1.03538,-16.60,26.119,2401.668"
"5.304,1095.256,1.03336,-14.80,26.068,2401.683"
"5.313,1095.210,1.03033,-12.60,25.991,2401.583"
"5.321,1095.079,1.02692,-10.60,25.904,2401.296"
"5.330,1095.140,1.02369,-8.80,25.822,2401.430"
"5.339,1095.244,1.01992,-7.00,25.727,2401.658"
"5.348,1095.183,1.01594,-5.30,25.626,2401.524"
"5.357,1095.324,1.01129,-3.40,25.508,2401.834"
"5.366,1095.337,1.00550,-1.50,25.360,2401.862"
"5.375,1095.300,0.99926,0.50,25.202,2401.780"
"5.384,1095.450,0.99198,2.50,25.017,2402.108"
"5.393,1095.458,0.98335,4.60,24.798,2402.126"
"5.401,1095.697,0.97218,6.60,24.514,2402.651"
"5.410,1095.705,0.95830,8.80,24.161,2402.668"
"5.419,1095.941,0.94219,11.00,23.752,2403.187"
"5.428,1096.382,0.91963,13.10,23.179,2404.154"
"5.437,1096.590,0.88966,15.20,22.418,2404.608"
"5.446,1097.306,0.84563,17.40,21.300,2406.179"
"5.455,1098.982,0.77606,19.60,19.533,2409.854"
"5.464,1099.855,0.69065,21.60,17.363,2411.769"
"5.473,1097.403,0.62545,23.80,15.707,2406.391"
"5.481,1096.577,0.58120,26.10,14.583,2404.581"
"5.490,1096.464,0.55260,28.10,13.857,2404.332"
"5.499,1095.784,0.52967,30.30,13.274,2402.841"
"5.508,1096.096,0.50903,32.30,12.750,2403.527"
"5.517,1095.812,0.49426,34.50,12.375,2402.904"
"5.526,1095.449,0.48115,36.60,12.042,2402.107"
"5.535,1095.355,0.47083,38.70,11.780,2401.901"
"5.544,1095.512,0.46249,40.90,11.568,2402.246"
"5.553,1095.324,0.45665,43.00,11.420,2401.834"
"5.561,1095.260,0.45204,45.20,11.302,2401.693"
"5.570,1095.109,0.44824,47.30,11.206,2401.362"
"5.579,1095.034,0.44604,49.20,11.150,2401.196"
"5.588,1094.976,0.44502,50.10,11.124,2401.069"
"5.589,1095.010,0.44499,50.20,11.124,2401.145"
